City,Local time,Description,Temperature,UTC time
Abidjan,Sat 10:24 pm,Light rain. Partly cloudy. Warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Libreville,Sat 11:24 pm,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Abu Dhabi,Sun 2:24 am,Passing clouds. Warm.,88 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Lilongwe,Sun 12:24 am,Clear. Cool.,55 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Accra,Sat 10:24 pm,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Lima,Sat 5:24 pm,Sunny. Mild.,76 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Adak,Sat 1:24 pm,Partly sunny. Cool.,47 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Lisbon,Sat 11:24 pm,Passing clouds. Mild.,72 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Addis Ababa,Sun 1:24 am,Passing clouds. Mild.,68 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Ljubljana,Sun 12:24 am,Clear. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Adelaide,Sun 7:54 am,Chilly.,49 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Lomé,Sat 10:24 pm,Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Algiers,Sat 11:24 pm,Passing clouds. Mild.,71 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
London,Sat 11:24 pm,Clear. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Alice Springs,Sun 7:54 am,Clear. Cool.,50 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Longyearbyen,Sun 12:24 am,Passing clouds. Chilly.,36 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Almaty,Sun 3:24 am,Partly cloudy. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Los Angeles,Sat 3:24 pm,Sunny. Mild.,71 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Alofi,Sat 11:24 am,Partly sunny. Mild.,75 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Luanda,Sat 11:24 pm,Clear. Mild.,73 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Amman,Sun 1:24 am,Clear. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Luxembourg,Sun 12:24 am,Passing clouds. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Amsterdam,Sun 12:24 am,Passing clouds. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Madrid,Sun 12:24 am,Passing clouds. Pleasantly warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Anadyr,Sun 10:24 am,Partly sunny. Cool.,49 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Magadan,Sun 9:24 am,Drizzle. Dense fog. Quite cool.,41 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Anchorage,Sat 2:24 pm,Scattered clouds. Refreshingly cool.,61 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Majuro,Sun 10:24 am,Cloudy. Warm.,87 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Ankara,Sun 1:24 am,Passing clouds. Cool.,57 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Makassar,Sun 6:24 am,Fog. Mild.,75 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Antananarivo,Sun 1:24 am,Passing clouds. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Male,Sun 3:24 am,Passing clouds. Warm.,84 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Apia,Sun 11:24 am,Scattered clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Managua,Sat 4:24 pm,Scattered clouds. Hot.,91 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Ashgabat,Sun 3:24 am,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Manama,Sun 1:24 am,Passing clouds. Extremely hot.,93 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Astana,Sun 3:24 am,Passing clouds. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Manaus,Sat 6:24 pm,Passing clouds. Warm.,84 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Asuncion,Sat 7:24 pm,Clear. Mild.,63 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Manila,Sun 6:24 am,Light rain. Overcast. Mild.,76 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Athens,Sun 1:24 am,Mild.,74 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Manokwari,Sun 7:24 am,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Atlanta,Sat 6:24 pm,Sunny. Hot.,91 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Maputo,Sun 12:24 am,Passing clouds. Mild.,68 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Auckland,Sun 10:24 am,Clear. Cool.,52 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Mary's Harbour,Sat 7:54 pm,Overcast. Quite cool.,43 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Baghdad,Sun 1:24 am,Clear. Pleasantly warm.,88 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Melbourne,Sun 8:24 am,Sunny. Quite cool.,45 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Baker Lake,Sat 5:24 pm,Low clouds. Chilly.,39 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Mexico City,Sat 4:24 pm,Rain. Mostly cloudy. Mild.,73 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Baku,Sun 2:24 am,Clear. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Miami,Sat 6:24 pm,Broken clouds. Warm.,87 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bamako,Sat 10:24 pm,Thunderstorms. Passing clouds. Mild.,75 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Midway,Sat 11:24 am,Passing clouds. Warm.,80 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bandar Seri Begawan,Sun 6:24 am,Partly cloudy. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Minneapolis,Sat 5:24 pm,Scattered clouds. Mild.,74 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bangkok,Sun 5:24 am,Passing clouds. Warm.,84 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Minsk,Sun 1:24 am,Passing clouds. Cool.,57 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bangui,Sat 11:24 pm,Clear. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Monaco,Sun 12:24 am,Clear. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Banjul,Sat 10:24 pm,Passing clouds. Warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Monrovia,Sat 10:24 pm,Thunderstorms. Passing clouds. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Barcelona,Sun 12:24 am,Passing clouds. Mild.,75 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Montevideo,Sat 7:24 pm,Fog. Cool.,52 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Basse-Terre,Sat 6:24 pm,Broken clouds. Warm.,84 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Montréal,Sat 6:24 pm,Partly sunny. Warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
